formateur,adresse,numero,site,formation_ID,id_formateur
EFE Formation,"18-24 Rue Tiphaine, 75015 Paris",,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwj01pvv2rSJAxWbtGgJHWoDPKUYABAFGgJ3Zg&co=1&ase=2&gclid=EAIaIQobChMI9Nab79q0iQMVm7RoCR1qAzylEBAYAiAAEgIehfD_BwE&ohost=www.google.fr&cid=CAASE-RofswusC5CyonXo5yoCrG8Dbk&sig=AOD64_1FA6z0I4YYJurC-2o_evEVoJfznQ&adurl&ctype=99&nis=6,10,26
Accedia | Formation Négociation et Coaching Négociation,"11 Bis Rue Edouard Vaillant, 92300 Levallois-Perret",,https://www.accedia.fr/,10,34
Cegos Paris,"7 Rue Frédérick Lemaître, 75020 Paris",,https://www.cegos.fr/,10,2
Cegos,"19 Rue René Jacques, 92130 Issy-les-Moulineaux",,https://www.cegos.fr/,10,1
AFNOR Compétences,"11 Rue Francis de Pressensé, 93210 Saint-Denis",,https://competences.afnor.org/,10,5
Centre Européen de la Négociation,"10 Rue de Penthièvre, 75008 Paris",,https://cenego.com/,11,35
Cegos Paris,"7 Rue Frédérick Lemaître, 75020 Paris",,https://www.cegos.fr/,11,2
Cegos,"19 Rue René Jacques, 92130 Issy-les-Moulineaux",,https://www.cegos.fr/,11,1
ifocop - Centre de Paris 13,"58A Rue du Dessous des Berges, 75013 Paris",,https://www.ifocop.fr/centre-formations/paris-xiii/?utm_source=seo&utm_medium=gmb&utm_campaign=gmb%20paris13,11,3
ACP FORMATION,"18-24 Rue Tiphaine, 75015 Paris",,https://www.acpformation.fr/,11,15
Effigest Formation,"62 Rue de Caumartin, 75009 Paris",01 77 56 25 12,http://www.effigestformation.com/,14,36
Eedge,"59 Rue Beaubourg, 75003 Paris",07 57 81 87 35,http://eedge.fr/,14,37
Convergences Synergiques,"3 Rue Bellot, 75019 Paris",06 31 03 27 64,https://www.cosy.consulting/,14,38
Eco Efficacité Formation - Formation RGE Paris & IDF,formations-rge.info,01 30 53 37 69,https://formations-rge.info/,14,39
Cegos Paris,"7 Rue Frédérick Lemaître, 75020 Paris",01 55 00 90 02,https://www.cegos.fr/,14,2
CFC Formations,"97 Av. du Général Leclerc, 75014 Paris",01 81 89 34 60,https://www.cfc.fr/,14,40
"ETRE Paris, l'école de la transition écologique","13 Rue Santeuil, 75005 Paris",,https://www.ecole-transition.eu/,18,41
NEMETRA,"18-24 Rue Tiphaine, 75015 Paris",,https://www.nemetra.fr/,18,42
LA RESERVE DES ARTS - Formation,"14 Av. Edouard Vaillant, 93500 Pantin",,https://www.lareservedesarts.org/formation-1,18,43
Institut de la Durabilité,institutdeladurabilite.fr,,http://www.institutdeladurabilite.fr/,18,44
ACT&DO,"30 Av. du Château, 94300 Vincennes",,http://actanddo.com/,18,45
Dans l'ère du temps,"19 Rue Jules Ferry, 92100 Boulogne-Billancourt",,http://dansleredutemps.org/,18,46
Fédération Régionale des Travaux Publics Île-de-France,"9 Rue de Berri, 75008 Paris",,http://www.frtpidf.fr/,18,47
Afifor,"23 Rue d'Aumale, 75009 Paris",,https://afifor.fr/,18,48
AFNOR Compétences,"11 Rue Francis de Pressensé, 93210 Saint-Denis",01 41 62 76 22,https://competences.afnor.org/,24,5
ORSYS Formation,"1 Le Parvis de la Défense La Grande Arche, 92800 Puteaux",01 49 07 73 73,http://www.orsys.fr/?utm_source=gmb,24,29
Cegos,"ESPACE MONCASSIN, 9 Rue Henri Bocquillon, 75015 Paris",01 55 00 99 99,http://www.cegos.fr/formations/pages/formations.aspx,24,1
EcoLearn,"61 Rue de Lyon, 75012 Paris",09 70 70 15 93,https://ecolearn.com/,27,49
Institut Français du Développement Durable,"28 Rue du Général Beuret, 75015 Paris",,http://ifradd.fr/,27,50
REA Formation,"47 Bd de Courcelles, 75008 Paris",09 81 28 26 70,http://reaformation.fr/,27,51
Growth Acceleration,"231 Rue Saint-Honoré, 75001 Paris",07 56 97 77 56,https://growth-acceleration.com/,27,52
Cforpro,"221 Bd Davout, 75020 Paris",01 75 50 92 30,https://www.cforpro.com/,27,53
CFORPRO,"Tour de l'horloge, 4 Pl. Louis Armand, 75012 Paris",01 75 50 92 30,http://www.cforpro.com/,27,54
Place de la Formation - Logiciel collaboratif de gestion de la formation,"Rue Auguste Gervais 13 Ter-15, 92130 Issy-les-Moulineaux",01 80 80 90 90,http://www.placedelaformation.com/,27,55
Fédération pour l'Entrepreneuriat Durable,"6 Rue d'Armaillé, 75017 Paris",07 67 88 44 56,https://go.la-fed.org/,27,56
Scotwork,"28 Rue Morice, 92110 Clichy",01 45 78 17 17,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiw-IuY27SJAxVZZ0ECHXu1IxwYABANGgJ3cw&co=1&ase=2&gclid=EAIaIQobChMIsPiLmNu0iQMVWWdBAh17tSMcEBAYASAAEgJ_ofD_BwE&ohost=www.google.fr&cid=CAASE-RobmjX7Hu6bKIAbaPEK2kEjW4&sig=AOD64_2pWOhfA9oS_R-PJ1C326sM6bUOog&adurl&ctype=99&nis=6,28,19
CNFCE,"38 Rue des Mathurins, 75008 Paris",01 81 22 22 18,https://www.cnfce.com/,28,57
Scotwork·Lien consulté,"28 Rue Morice, 92110 Clichy",01 45 78 17 17,http://www.scotwork.fr/,28,58
Le CNAM Ile-de-France,"9 Cr des Petites Écuries, 75010 Paris",01 44 78 60 50,https://www.cnam-idf.fr/,28,59
ifocop - Centre de Paris 13,"58A Rue du Dessous des Berges, 75013 Paris",01 45 83 81 29,https://www.ifocop.fr/centre-formations/paris-xiii/?utm_source=seo&utm_medium=gmb&utm_campaign=gmb%20paris13,28,3
C.F.P.A Centre Formation et Perfectionnement à l'Achat,"10 Rue des Boulets, 75011 Paris",09 50 59 46 44,http://www.cfpa-formation.fr/,30,27
ACP FORMATION,"18-24 Rue Tiphaine, 75015 Paris",01 42 21 02 02,https://www.acpformation.fr/,30,15
achatpublic.com,"Pl. du Général de Gaulle, 92160 Antony",01 79 06 76 00,https://www.achatpublic.com/,30,28
achatpublic.com,"Pl. du Général de Gaulle, 92160 Antony",,,31,28
Scotwork,"28 Rue Morice, 92110 Clichy",,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjKjKWl27SJAxW2tWgJHR3vIVcYABAIGgJ3Zg&co=1&ase=2&gclid=EAIaIQobChMIyoylpdu0iQMVtrVoCR0d7yFXEBAYASAAEgIRi_D_BwE&ohost=www.google.fr&cid=CAASE-RoxdiO1r5OCX6JFA3nNuugaTc&sig=AOD64_0pTv3yMsXOT7VJvSYim1BcEZocFw&adurl&ctype=99&nis=6,34,19
Francis Lefebvre Formation,"13-15 Rue Viète, 75017 Paris",,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjKjKWl27SJAxW2tWgJHR3vIVcYABAFGgJ3Zg&co=1&ase=2&gclid=EAIaIQobChMIyoylpdu0iQMVtrVoCR0d7yFXEBAYAiAAEgKn_fD_BwE&ohost=www.google.fr&cid=CAASE-RoxdiO1r5OCX6JFA3nNuugaTc&sig=AOD64_1U5KEo00CTrMQMRd25wxYKCAy6aw&adurl&ctype=99&nis=6,34,60
Centre Européen de la Négociation,"10 Rue de Penthièvre, 75008 Paris",,https://cenego.com/,34,35
GERESO Formation - Paris,"22 Pl. de Catalogne, 75014 Paris",,https://www.gereso.com/,34,61
Accedia | Formation Négociation et Coaching Négociation,"11 Bis Rue Edouard Vaillant, 92300 Levallois-Perret",,https://www.accedia.fr/,34,34
Cegos Paris,"7 Rue Frédérick Lemaître, 75020 Paris",,https://www.cegos.fr/,34,2
Noé Formation Product Manager,"51 Rue de Chabrol, 75010 Paris",,https://www.noe.pm/,34,62
APEPSUP,"7 Rue Pelée, 75011 Paris",,http://apepsup.com/,34,63
EFE Formation,"18-24 Rue Tiphaine, 75015 Paris",01 42 21 02 02,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjA2J-s27SJAxUwUEECHcxpCHEYABAAGgJ3cw&co=1&ase=2&gclid=EAIaIQobChMIwNifrNu0iQMVMFBBAh3MaQhxEBAYASAAEgKVy_D_BwE&ohost=www.google.fr&cid=CAASE-RokjVyQfeNntYQt2dEOCVPjxQ&sig=AOD64_2hqluCVljoBODhT5GH8_BnScHa_Q&adurl&ctype=99&nis=6,35,26
C.F.P.A Centre Formation et Perfectionnement à l'Achat,"10 Rue des Boulets, 75011 Paris",09 50 59 46 44,http://www.cfpa-formation.fr/,35,27
ACP FORMATION,"18-24 Rue Tiphaine, 75015 Paris",01 42 21 02 02,https://www.acpformation.fr/,35,15
GERESO Formation - Paris,"22 Pl. de Catalogne, 75014 Paris",0 800 40 04 60,https://www.gereso.com/,35,61
Formation commerciale et managériale à Paris - Booster Academy,"25 Rue La Boétie, 75008 Paris",01 72 28 35 89,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwi18Zyw27SJAxWmhGgJHYc4Ks0YABAAGgJ3Zg&co=1&ase=2&gclid=EAIaIQobChMItfGcsNu0iQMVpoRoCR2HOCrNEBAYASAAEgLYafD_BwE&ohost=www.google.fr&cid=CAASE-RoQhmMNt49ZiRJ6xQ0PNHRjKA&sig=AOD64_1NBia8VrL8CvV2lx2lAdQENUWQqg&adurl&ctype=99&nis=6,36,64
CNFCE,"38 Rue des Mathurins, 75008 Paris",01 81 22 22 18,https://www.cnfce.com/,36,57
AFNOR Compétences,"11 Rue Francis de Pressensé, 93210 Saint-Denis",01 41 62 76 22,https://competences.afnor.org/,36,5
ifocop - Centre de Paris 13,"58A Rue du Dessous des Berges, 75013 Paris",01 45 83 81 29,https://www.ifocop.fr/centre-formations/paris-xiii/?utm_source=seo&utm_medium=gmb&utm_campaign=gmb%20paris13,36,3
EFE Formation,"18-24 Rue Tiphaine, 75015 Paris",01 42 21 02 02,https://www.efe.fr/,36,26
"Formation Bureautique Paris | Officium | Formation word, excel, powerpoint, pack office","26 Rue Montorgueil, 75001 Paris",,https://www.centre-formation-bureautique.com/,38,65
L'Académie de l'Office Manager,"25 Rue de Joinville, 94120 Fontenay-sous-Bois",,http://www.pro-officemanager.com/,38,66
TalenCo,"WOJO Montparnasse, 82 Av. du Maine, 75014 Paris",,https://www.talenco.com/,38,67
CERTyou,"37 Rue de Liège, 75008 Paris",,https://www.certyou.com/,38,68
ACP FORMATION,"18-24 Rue Tiphaine, 75015 Paris",,https://www.acpformation.fr/,38,15
INSEEC BTS Paris,"197 Rue du Temple, 75003 Paris",,https://www.inseec.com/programmes-inseec/bts/,38,69
ORSYS Formation,"1 Le Parvis de la Défense La Grande Arche, 92800 Puteaux",,http://www.orsys.fr/?utm_source=gmb,38,29
Learn Assembly,"15 Rue de la Fontaine au Roi, 75011 Paris",,http://www.learnassembly.com/,38,70
EFE Formation,"18-24 Rue Tiphaine, 75015 Paris",,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwjpi7e827SJAxVadkECHd1pL6cYABAAGgJ3cw&co=1&ase=2&gclid=EAIaIQobChMI6Yu3vNu0iQMVWnZBAh3daS-nEBAYASAAEgJ02fD_BwE&ohost=www.google.fr&cid=CAASE-RoSZWMINau13rz6Ik2K0FX3pE&sig=AOD64_2wPZ336aGG0l5h53c6Q5FUDIpMsw&adurl&ctype=99&nis=6,39,26
ESAS Formation Paris,"19 Rue Béranger, 75003 Paris",,https://www.esas-formation.fr/,39,71
"Avlis Formation Secrétaire Médical·e · Rentrée tous les mois de l’année, nous contacter…","90 Av. de Flandre, 75019 Paris",,http://www.avlis.fr/,39,72
ESAS Formation Pantin,"7 Pass. Roche, 93500 Pantin",,https://www.esas-formation.fr/,39,73
ADIEL BY SUP SANTE,"22 TER, 24 Rue d'Annam, 75020 Paris",,http://acf-formation.fr/,39,21
Formation Secrétaire Indépendante,"138 Av. Gambetta, 75020 Paris",,https://www.formation-secretaire-independante.com/,39,74
ifocop - Centre de Paris 11,"37-39 Rue Saint-Sébastien, 75011 Paris",,https://www.ifocop.fr/centre-formations/paris-xi/?utm_source=seo&utm_medium=gmb&utm_campaign=gmb%20paris11,39,75
Epsilon Mélia - Formation continue social et médico-social,"22 Rue René Boulanger, 75010 Paris",,https://www.epsilonmelia.com/,39,76
ESAS Formation Paris,"19 Rue Béranger, 75003 Paris",,https://www.esas-formation.fr/,40,71
"Avlis Formation Secrétaire Médical·e · Rentrée tous les mois de l’année, nous contacter…","90 Av. de Flandre, 75019 Paris",,http://www.avlis.fr/,40,72
Epsilon Mélia - Formation continue social et médico-social,"22 Rue René Boulanger, 75010 Paris",,https://www.epsilonmelia.com/,40,76
AFPPCD,"11 R. des Petites Écuries, 75010 Paris",,https://afppcd-idf.com/,40,77
ADIEL BY SUP SANTE,"22 TER, 24 Rue d'Annam, 75020 Paris",,http://acf-formation.fr/,40,21
Vidal Formation Paris,"43 Rue Greneta, 75002 Paris",,https://www.vidal-formation.paris/,40,78
Formation Secrétaire Indépendante,"138 Av. Gambetta, 75020 Paris",,https://www.formation-secretaire-independante.com/,40,74
Ma formation médicale,"10 Rue de Penthièvre, 75008 Paris",,http://www.maformationmedicale.fr/,40,79
ADIEL BY SUP SANTE,"22 TER, 24 Rue d'Annam, 75020 Paris",,http://acf-formation.fr/,42,21
Cegos Paris,"7 Rue Frédérick Lemaître, 75020 Paris",,https://www.cegos.fr/,42,2
"Pôle de Formation Environnement, Ville et Architecture - ADIG","15 Rue Lucien Sampaix, 75010 Paris",,https://poleformation-idf.org/,42,80
Drouot Formation,"9 Rue Drouot, 75009 Paris",,http://www.drouotformation.com/,42,81
INCM Le Bourget,"Le, 47 Rue du Commandant Rolland, 93350 Le Bourget",,http://www.incm-formation.fr/,42,82
Cegos,"19 Rue René Jacques, 92130 Issy-les-Moulineaux",,https://www.cegos.fr/,42,1
Afometra,"10 Rue de la Rosière, 75015 Paris",,http://www.afometra.org/,42,83
Ifsa&Nature,"85-87 Rue Gabriel Péri, 92120 Montrouge",,https://www.ifsa-nature.fr/?utm_source=google&utm_medium=seo&utm_campaign=gmb,42,84
Formationpaierh - formation en ligne à la paie et aux ressources humaines,"56 Rue du Ruisseau, 75018 Paris",,https://formationpaierh.fr/,46,85
RESSOURCES FORMATION,"149 Rue Belliard, 75018 Paris",,https://www.ressourcesformation.fr/,46,86
Groupe GEFOR,"7 Rue du Louvre, 75001 Paris",,http://www.gefor.com/,46,22
CNFCE,"38 Rue des Mathurins, 75008 Paris",,https://www.cnfce.com/,46,57
CNFSE - Formation Habilitation électrique sur Paris & Ile de France,"231 Rue Saint-Honoré, 75001 Paris",,https://habilitations-electrique.fr/,46,87
Centre de Formation Professionnelle Softec - Paris,"100 Rue La Fayette, 75010 Paris",,http://www.softec.fr/centre-formation-paris,46,20
ifocop - Centre de Paris 11,"37-39 Rue Saint-Sébastien, 75011 Paris",,https://www.ifocop.fr/centre-formations/paris-xi/?utm_source=seo&utm_medium=gmb&utm_campaign=gmb%20paris11,46,75
CIEFA Paris - Centre de Formation en Alternance,"3 Rue Pierre Dupont, 75010 Paris",,https://www.ciefa.com/,46,10
ESAS Formation Paris,"19 Rue Béranger, 75003 Paris",,https://www.esas-formation.fr/,47,71
"Avlis Formation Secrétaire Médical·e · Rentrée tous les mois de l’année, nous contacter…","90 Av. de Flandre, 75019 Paris",,http://www.avlis.fr/,47,72
Epsilon Mélia - Formation continue social et médico-social,"22 Rue René Boulanger, 75010 Paris",,https://www.epsilonmelia.com/,47,76
AFPPCD,"11 R. des Petites Écuries, 75010 Paris",,https://afppcd-idf.com/,47,77
ADIEL BY SUP SANTE,"22 TER, 24 Rue d'Annam, 75020 Paris",,http://acf-formation.fr/,47,21
Ma formation médicale,"10 Rue de Penthièvre, 75008 Paris",,http://www.maformationmedicale.fr/,47,79
Vidal Formation Paris,"43 Rue Greneta, 75002 Paris",,https://www.vidal-formation.paris/,47,78
Formation Secrétaire Indépendante,"138 Av. Gambetta, 75020 Paris",,https://www.formation-secretaire-independante.com/,47,74
Formationpaierh - formation en ligne à la paie et aux ressources humaines,"56 Rue du Ruisseau, 75018 Paris",,https://formationpaierh.fr/,50,85
ifocop - Centre de Paris 11,"37-39 Rue Saint-Sébastien, 75011 Paris",,https://www.ifocop.fr/centre-formations/paris-xi/?utm_source=seo&utm_medium=gmb&utm_campaign=gmb%20paris11,50,75
APC RH ET FORMATION PARIS,"207 Rue de Bercy, 75012 Paris",,http://www.apc-formation.com/,50,88
ifocop - Centre de Paris 13,"58A Rue du Dessous des Berges, 75013 Paris",,https://www.ifocop.fr/centre-formations/paris-xiii/?utm_source=seo&utm_medium=gmb&utm_campaign=gmb%20paris13,50,3
"ESAGE, l'École des Assistants & des Ressources Humaines en alternance à Paris","54 Av. Philippe Auguste, 75011 Paris",,https://www.esage.fr/,50,89
Pay Job Formation - Paie & RH,payjob.fr,,https://www.payjob.fr/les-formations/,50,90
ifocop - Centre de Rungis,"5 Rue du Caducée, 94150 Rungis",,https://www.ifocop.fr/centre-formations/rungis/?utm_source=seo&utm_medium=gmb&utm_campaign=gmb%20rungis,50,14
Next Forma,"77 Rue du Rocher, 75008 Paris",,https://next-forma.fr/,50,91
MAMforma,"122 Rue Amelot, 75011 Paris",,https://www.googleadservices.com/pagead/aclk?sa=L&ai=DChcSEwiFn__p27SJAxUdhmgJHaNnLz4YABAHGgJ3Zg&co=1&ase=2&gclid=EAIaIQobChMIhZ__6du0iQMVHYZoCR2jZy8-EBAYASAAEgKf8fD_BwE&ohost=www.google.fr&cid=CAASE-RoawdrHOOj__PsGrS2N7BKWlI&sig=AOD64_297GPOfLQ6kPyHvflDBzdyGTsKlw&adurl&ctype=99&nis=6,51,92
ESAS Formation Paris,"19 Rue Béranger, 75003 Paris",,https://www.esas-formation.fr/,51,71
IFJ Paris - Institut de formation juridique,"8 Rue Hautefeuille, 75006 Paris",,,51,93
Enadep,"48 Rue de Rivoli, 75004 Paris",,https://www.enadep.com/,51,94
Institut de Formation en Droit Social de Paris,"106 Rue de Patay, 75013 Paris",,https://ifdsp.fr/,51,95
Centre de Formation Professionnelle Softec - Paris,"100 Rue La Fayette, 75010 Paris",,http://www.softec.fr/centre-formation-paris,52,20
ADIEL BY SUP SANTE,"22 TER, 24 Rue d'Annam, 75020 Paris",,http://acf-formation.fr/,52,21
Groupe GEFOR,"7 Rue du Louvre, 75001 Paris",,http://www.gefor.com/,52,22
ifocop - Centre de Paris 13,"58A Rue du Dessous des Berges, 75013 Paris",,https://www.ifocop.fr/centre-formations/paris-xiii/?utm_source=seo&utm_medium=gmb&utm_campaign=gmb%20paris13,52,3
