ID_FORMATION,DOMAINE_CATGEGORIE,SOUS_DOMAINE_CATEGORIE,FORMATION_COURS
291,Communication,Communication interne et externe,Réseaux sociaux niveau 1 - Les fondamentaux du digital et des médias sociaux 
292,Communication,Communication interne et externe,Réseaux sociaux niveau 2 - Stratégie de communication sur les médias sociaux 
293,Communication,Communication interne et externe,Élaborer une stratégie d'inbound marketing 
294,Communication,Communication interne et externe,Développer l’activité commerciale grâce aux réseaux sociaux 
295,Communication,Communication interne et externe,"Publicité sur le Web et les réseaux sociaux : SEA, Display, Social ads, Retargeting "
297,Communication,Communication interne et externe,Créer et animer son podcast 
299,Communication,Communication interne et externe,Créer des contenus visuels pour le web et les réseaux sociaux 
300,Communication,Communication interne et externe,3h chrono pour concevoir sa première infographie 
301,Communication,Communication interne et externe,Concevoir sa newsletter 
305,Communication,Communication interne et externe,"Les nouveaux défis de la communication interne : télétravail, RSE, collaboration "
306,Communication,Communication interne et externe,Réussir ses événements 
307,Communication,Communication interne et externe,Optimiser ses relations médias 
308,Communication,Communication interne et externe,Valoriser son image professionnelle par son style 
309,Communication,Communication interne et externe,Les techniques d'écriture journalistique 
310,Communication,Communication interne et externe,Maîtriser les techniques de rewriting 
311,Communication,Communication interne et externe,Rédiger pour le Web 
313,Communication,Communication interne et externe,Storytelling : créer une histoire captivante 
314,Communication,Communiquer à l'oral,Adapter sa communication dans ses relations professionnelles 
318,Communication,Communiquer à l'oral,Communiquer avec aisance en situation difficile 
319,Communication,Communiquer à l'oral,Travailler sa voix pour s'affirmer à l'oral 
320,Communication,Communiquer à l'oral,Aller à l'essentiel à l'écrit et à l'oral 
321,Communication,Communiquer à l'oral,Renforcer ses compétences en synthèse orale 
322,Communication,Communiquer à l'oral,Développer son esprit de synthèse à l'écrit et à l'oral 
323,Communication,Communiquer à l'oral,3h chrono pour valoriser son image en distanciel 
324,Communication,Communiquer à l'oral,Argumenter : un levier pour convaincre 
326,Communication,Communiquer à l'oral,Décoder la communication non verbale 
327,Communication,Communiquer à l'oral,Réussir ses présentations orales avec des supports visuels percutants 
329,Communication,Communiquer à l'oral,Storytelling : créer une histoire captivante 
330,Communication,Communiquer à l'oral,Improvisez avec aisance 
331,Communication,Communiquer à l'oral,Gérer les échanges avec un public hostile 
332,Communication,Communiquer à l'écrit,Être à l'aise à l'écrit : gagner en fluidité 
334,Communication,Communiquer à l'écrit,Améliorer ses écrits professionnels 
335,Communication,Communiquer à l'écrit,Booster ses écrits professionnels avec l’IA 
336,Communication,Communiquer à l'écrit,Rédiger des e-mails plus efficaces et impactants 
337,Communication,Communiquer à l'écrit,3h chrono pour rédiger des e-mails synthétiques 
338,Communication,Communiquer à l'écrit,Aller à l'essentiel à l'écrit et à l'oral 
339,Communication,Communiquer à l'écrit,Renforcer ses compétences en synthèse écrite 
340,Communication,Communiquer à l'écrit,Les fondamentaux de la synthèse écrite et orale 
341,Communication,Communiquer à l'écrit,Lire vite et retenir l'essentiel 
342,Communication,Communiquer à l'écrit,Développer son esprit de synthèse à l'écrit et à l'oral 
343,Communication,Communiquer à l'écrit,Prendre des notes et rédiger des comptes rendus 
344,Communication,Communiquer à l'écrit,Les fondamentaux de la prise de notes 
345,Communication,Communiquer à l'écrit,Se réconcilier avec l'orthographe - Niveau 1 : les fondamentaux en langue française 
346,Communication,Communiquer à l'écrit,Se réconcilier avec l'orthographe - Niveau 2 : consolider ses acquis en langue française 
347,Communication,Communication interne et externe,3h chrono pour acquérir les fondamentaux du droit d’auteur et du droit à l’image 
348,Communication,Communication interne et externe,Réussir sa stratégie influenceurs et créateurs de contenus sur les médias sociaux 
349,Communication,Communication interne et externe,Réseaux sociaux niveau 3 - Optimiser la performance de sa stratégie social media 
352,Communication,Communiquer à l'écrit,Optimiser ses écrits professionnels grâce à l’IA 
354,Comptabilité - Fiscalité,Comptabilité,Les fondamentaux de la comptabilité générale 
355,Comptabilité - Fiscalité,Comptabilité,Pratique de la comptabilité générale - Niveau 1 
356,Comptabilité - Fiscalité,Comptabilité,Pratique de la comptabilité générale - Niveau 2 
357,Comptabilité - Fiscalité,Comptabilité,Pratique de la comptabilité générale - Niveau 3 
358,Comptabilité - Fiscalité,Comptabilité,Monter le bilan et la liasse fiscale 
359,Comptabilité - Fiscalité,Comptabilité,Réaliser la clôture comptable et mettre en œuvre une démarche de révision 
360,Comptabilité - Fiscalité,Comptabilité,"Préparer, établir et clôturer les comptes annuels "
361,Comptabilité - Fiscalité,Comptabilité,Comptabilité analytique : décider sur la base de coûts pertinents 
365,Comptabilité - Fiscalité,Comptabilité,Maîtriser la TVA dans la comptabilité fournisseurs 
367,Comptabilité - Fiscalité,Comptabilité,Maîtriser la comptabilité clients 
368,Comptabilité - Fiscalité,Comptabilité,Maîtriser la comptabilité des charges de personnel 
370,Comptabilité - Fiscalité,Comptabilité,Journée Nationale de la Paie - 25e édition 
371,Comptabilité - Fiscalité,Comptabilité,Pratique de la consolidation des comptes - Niv. 1 
373,Comptabilité - Fiscalité,Comptabilité,Pratique de la consolidation des comptes - Niv. 2 
2,Achats,Management et métiers des achats,Management opérationnel des achats 
8,Achats,Management et métiers des achats,Achat et approvisionnement en PME 
12,Achats,Achats : méthodes et outils,Cartographier et prioriser ses achats avec le marketing achats 
13,Achats,Achats : méthodes et outils,Améliorer la performance des achats grâce au digital 
15,Achats,Achats : méthodes et outils,Réduction des coûts d'achat 
16,Achats,Achats : méthodes et outils,Réaliser un cahier des charges fonctionnel 
17,Achats,Achats : méthodes et outils,Innover avec l'analyse de la valeur 
19,Achats,Achats : méthodes et outils,Droit des contrats et aspects juridiques des achats 
20,Achats,Achats : méthodes et outils,Les aspects juridiques des achats internationaux 
21,Achats,Achats : méthodes et outils,Sourcing et évaluation des fournisseurs 
22,Achats,Achats : méthodes et outils,Analyse et gestion du risque fournisseur 
23,Achats,Achats : méthodes et outils,Suivre et améliorer la qualité de vos fournisseurs et sous-traitants 
25,Achats,Achats : méthodes et outils,Les achats de prestations intellectuelles 
26,Achats,Achats : méthodes et outils,Contrats de maintenance et sous-traitance 
33,Achats,Achats publics,Construire un Cahier des Clauses Techniques Particulières (CCTP) 
37,Assistant(e),Les métiers,Office Manager : les 4 missions clés 
41,Assistant(e),Les métiers,Cycle Assistant(e) de direction 
43,Assistant(e),Les métiers,Assistant(e) : les 3 missions clés du métier 
44,Assistant(e),Les métiers,Assistant(e) d'équipe : être acteur de la performance de l'équipe 
45,Assistant(e),Les métiers,"Hôtesse-standardiste, un métier de communication en première ligne "
48,Assistant(e),Les métiers,Gestionnaire paie et administration du personnel 
49,Assistant(e),Les métiers,Assistant(e) RH : les bases pour réussir dans la fonction 
57,Assistant(e),Les métiers,Assistant chef de projet / Project Management Officer (PMO) 
58,Assistant(e),Efficacité professionnelle de l'assistant(e),Spécial Assistant(e)s : Les 5 clés de l'excellence professionnelle 
61,Assistant(e),Efficacité professionnelle de l'assistant(e),Approfondir la connaissance de soi-même et des autres 
63,Assistant(e),Efficacité professionnelle de l'assistant(e),"Spécial Assistant(e)s : Gagner du temps, s'organiser et gérer les priorités "
64,Assistant(e),Efficacité professionnelle de l'assistant(e),Spécial Assistant(e) : Développer l'autonomie des équipes et du management 
65,Assistant(e),Efficacité professionnelle de l'assistant(e),Gagner du temps et s'organiser avec Outlook 
66,Assistant(e),Efficacité professionnelle de l'assistant(e),3h chrono pour gérer vos documents OneDrive (Microsoft 365®) 
67,Assistant(e),Efficacité professionnelle de l'assistant(e),3h chrono pour planifier et organiser son télétravail 
68,Assistant(e),Efficacité professionnelle de l'assistant(e),3h chrono pour créer un planning avec Excel 
69,Assistant(e),Efficacité professionnelle de l'assistant(e),Réussir ses événements 
71,Assistant(e),Efficacité professionnelle de l'assistant(e),"Assistant(e)s, gérer et partager l'information avec des outils digitaux "
72,Assistant(e),Efficacité professionnelle de l'assistant(e),Microsoft 365® - Exploiter les outils collaboratifs en ligne 
73,Assistant(e),Efficacité professionnelle de l'assistant(e),3h chrono pour prendre en main Teams (Microsoft 365®) 
74,Assistant(e),Efficacité professionnelle de l'assistant(e),Spécial Assistant(e)s : tableau de bord et suivi budgétaire 
76,Assistant(e),Efficacité professionnelle de l'assistant(e),"Word - Rapports, comptes rendus, mémoires "
77,Assistant(e),Efficacité professionnelle de l'assistant(e),PowerPoint - Concevoir des visuels percutants 
78,Assistant(e),Communication de l’assistant(e),Spécial Assistant(e)s : Prise de notes et rédaction de comptes rendus efficaces 
79,Assistant(e),Communication de l’assistant(e),Rédiger des e-mails plus efficaces et impactants 
80,Assistant(e),Communication de l’assistant(e),Renforcer ses compétences en synthèse écrite 
81,Assistant(e),Communication de l’assistant(e),Améliorer ses écrits professionnels 
82,Assistant(e),Communication de l’assistant(e),Argumenter : un levier pour convaincre 
85,Assistant(e),Développement personnel de l'assistant(e),S’affirmer dans ses relations professionnelles - Assertivité les bases 
86,Assistant(e),Développement personnel de l'assistant(e),S’affirmer et sortir des conflits au quotidien - Assertivité niveau 2 
88,Assistant(e),Développement personnel de l'assistant(e),"L'estime de soi, source de l'efficacité professionnelle "
89,Assistant(e),Développement personnel de l'assistant(e),Gérer son stress 
90,Assistant(e),Développement personnel de l'assistant(e),Gérer ses émotions 
93,Banque,Gestion d'actifs,Les fondamentaux des marchés financiers 
95,Banque,Gestion du Patrimoine,Les fondamentaux de la gestion de patrimoine 
96,Banque,Gestion du Patrimoine,Tout savoir sur l'assurance-vie 
98,Banque,Gestion du Patrimoine,Perfectionnement à la fiscalité du patrimoine 
99,Banque,Gestion des risques et Bâle III,Les fondamentaux du Risk Management bancaire 
100,Banque,Gestion des risques et Bâle III,L'essentiel de Bâle 
101,Banque,Contrôle interne et conformité,Lutte anti-blanchiment et prévention du financement du terrorisme 
102,Banque,Contrôle interne et conformité,Les Fondamentaux du contrôle interne en établissements bancaires et financiers 
103,Banque,"Comptabilité, normes IFRS, contrôle de gestion",Méthodes et outils du contrôle de gestion bancaire 
105,Banque,Recouvrement et contentieux,Entreprises en difficulté et droit des faillites 
106,Banque,Recouvrement et contentieux,Traiter les situations de surendettement des particuliers 
107,Banque,Marchés des entreprises,L'essentiel des financements structurés 
108,Banque,Marchés des entreprises,Pratiquer l'analyse financière 
110,Banque,Marchés des entreprises,Analyse financière des comptes consolidés et normes IFRS 
112,Banque,Marchés des entreprises,Évaluer une entreprise - Niveau 2 
113,Banque,Marchés des entreprises,Réussir son business plan 
114,Banque,Marchés des entreprises,Business plan financier 
115,Banque,Marchés des entreprises,Ingénierie financière des opérations sur capitaux propres 
116,Banque,Marchés des entreprises,Gérer efficacement les crédits documentaires 
118,Banque,Marchés des entreprises,Analyse financière des comptes consolidés 
121,Bureautique - PAO/CAO,Logiciels bureautique,Préparation à la certification TOSA® DigComp 
122,Bureautique - PAO/CAO,Logiciels bureautique,"L'essentiel de Word, Excel et PowerPoint "
124,Bureautique - PAO/CAO,Logiciels bureautique,"LibreOffice - Writer, Calc, Impress "
126,Bureautique - PAO/CAO,Logiciels bureautique,Excel - Consolider ses connaissances pour autodidactes 
129,Bureautique - PAO/CAO,Logiciels bureautique,3h chrono pour créer des graphiques avec Excel 
130,Bureautique - PAO/CAO,Logiciels bureautique,3h chrono pour maîtriser la fonction Recherche dans Excel 
131,Bureautique - PAO/CAO,Logiciels bureautique,"3h chrono pour manipuler du texte, des dates et des heures dans Excel "
132,Bureautique - PAO/CAO,Logiciels bureautique,3h chrono pour maîtriser les fonctions conditionnelles d’Excel 
133,Bureautique - PAO/CAO,Logiciels bureautique,3h chrono pour créer un planning avec Excel 
134,Bureautique - PAO/CAO,Logiciels bureautique,3h chrono pour exploiter les outils gain de temps d'Excel 
135,Bureautique - PAO/CAO,Logiciels bureautique,Excel - Tableaux croisés dynamiques - Niveau 1 
136,Bureautique - PAO/CAO,Logiciels bureautique,Excel - Tableaux croisés dynamiques - Niveau 2 
137,Bureautique - PAO/CAO,Logiciels bureautique,3h chrono pour créer vos premiers tableaux croisés dynamiques 
138,Bureautique - PAO/CAO,Logiciels bureautique,Power BI Desktop - Analyse de données et tableaux de bord 
140,Bureautique - PAO/CAO,Logiciels bureautique,Analyse et visualisation de données avec Excel 
142,Bureautique - PAO/CAO,Logiciels bureautique,Excel Macros VBA - Niveau 2 
146,Bureautique - PAO/CAO,Logiciels bureautique,"Word - Rapports, comptes rendus, mémoires "
147,Bureautique - PAO/CAO,Logiciels bureautique,Word - Consolider ses connaissances pour autodidactes 
150,Bureautique - PAO/CAO,Logiciels bureautique,PowerPoint - Concevoir des visuels percutants 
151,Bureautique - PAO/CAO,Logiciels bureautique,3h chrono pour concevoir un tutoriel 
152,Bureautique - PAO/CAO,Logiciels bureautique,3h chrono pour maîtriser les masques sur PowerPoint 
153,Bureautique - PAO/CAO,Logiciels bureautique,PowerPoint - Consolider ses connaissances pour autodidactes 
154,Bureautique - PAO/CAO,Logiciels bureautique,Gagner du temps et s'organiser avec Outlook 
155,Bureautique - PAO/CAO,Logiciels bureautique,3h chrono pour organiser et partager vos notes dans OneNote 
156,Bureautique - PAO/CAO,Outils collaboratifs,Microsoft 365® - Exploiter les outils collaboratifs en ligne 
157,Bureautique - PAO/CAO,Outils collaboratifs,3h chrono pour prendre en main Teams (Microsoft 365®) 
158,Bureautique - PAO/CAO,Outils collaboratifs,3h chrono pour gérer vos documents OneDrive (Microsoft 365®) 
159,Bureautique - PAO/CAO,Outils collaboratifs,Microsoft 365® - Collaborer en mode projet avec Teams et Tasks 
161,Bureautique - PAO/CAO,Outils collaboratifs,3h chrono pour découvrir SharePoint 
162,Bureautique - PAO/CAO,Outils collaboratifs,Google Workspace - Collaborer en ligne 
163,Bureautique - PAO/CAO,Outils collaboratifs,Réseaux sociaux niveau 1 - Les fondamentaux du digital et des médias sociaux 
164,Bureautique - PAO/CAO,Outils collaboratifs,Préparation à la certification TOSA® DigComp 
165,Bureautique - PAO/CAO,Outils collaboratifs,3h chrono pour développer sa visibilité sur LinkedIn 
166,Bureautique - PAO/CAO,Outils collaboratifs,Créer des contenus visuels pour le web et les réseaux sociaux 
167,Bureautique - PAO/CAO,Outils collaboratifs,3h chrono pour concevoir sa première infographie 
168,Bureautique - PAO/CAO,Logiciels PAO - CAO,"Les essentiels de la PAO : Photoshop, Illustrator, InDesign "
171,Bureautique - PAO/CAO,Logiciels PAO - CAO,InDesign - Niveau 1 
172,Bureautique - PAO/CAO,Logiciels PAO - CAO,InDesign - Niveau 2 
174,Bureautique - PAO/CAO,Logiciels PAO - CAO,Photoshop - Niveau 2 
182,Bureautique - PAO/CAO,Outils collaboratifs,Réseaux sociaux niveau 2 - Stratégie de communication sur les médias sociaux 
183,Bureautique - PAO/CAO,Outils collaboratifs,Réseaux sociaux niveau 3 - Optimiser la performance de sa stratégie social media 
184,Bureautique - PAO/CAO,Outils collaboratifs,Produire des contenus grâce aux outils d'intelligence artificielle 
186,Changement,Accompagnement au changement,Les bases de l'accompagnement du changement 
187,Changement,Accompagnement au changement,Conduite du changement : démarches et outils 
188,Changement,Accompagnement au changement,Atelier : instaurer une culture du changement dans son équipe 
189,Changement,Accompagnement au changement,Les 4 clés de l'accompagnement du changement 
190,Changement,Accompagnement au changement,Engager les collaborateurs dans la démarche RSE 
191,Changement,Accompagnement au changement,Approche systémique : s'approprier la démarche 
192,Changement,Accompagnement au changement,Communiquer pour accompagner les changements 
193,Changement,Accompagnement au changement,Mieux écouter pour mieux décoder 
194,Changement,Accompagnement au changement,Communiquer avec aisance en situation difficile 
197,Changement,Adaptation au changement,Bien vivre les changements 
199,Changement,Adaptation au changement,Développer sa résilience 
201,Changement,Adaptation au changement,3h chrono pour développer ses capacités de concentration 
202,Changement,Adaptation au changement,3h chrono pour planifier et organiser son télétravail 
203,Changement,Adaptation au changement,3h chrono pour découvrir ce qui vous anime professionnellement avec Ikigai 
204,Changement,Adaptation au changement,Développer son optimisme 
205,Coaching,Devenir Coach professionnel,Les fondamentaux du métier de coach professionnel 
207,Coaching,Devenir Coach professionnel,Formation au métier de coach professionnel - Module 3 du parcours accrédité Level 2 par ICF 
210,Commercial - Ventes,Vente et négociation,Profession commercial 
212,Commercial - Ventes,Vente et négociation,Key Account Manager 
214,Commercial - Ventes,Vente et négociation,Ingénieur d'affaires 
216,Commercial - Ventes,Vente et négociation,Prospecter et gagner de nouveaux clients 
217,Commercial - Ventes,Vente et négociation,Prospecter avec LinkedIn 
219,Commercial - Ventes,Vente et négociation,3h chrono pour gagner des rendez-vous de prospection avec de bonnes accroches 
220,Commercial - Ventes,Vente et négociation,Entraînement intensif à la prise de rendez-vous de prospection 
222,Commercial - Ventes,Vente et négociation,Vendre et négocier par téléphone 
224,Commercial - Ventes,Vente et négociation,3h chrono pour construire des arguments percutants 
225,Commercial - Ventes,Vente et négociation,3h chrono pour traiter les objections avec souplesse 
226,Commercial - Ventes,Vente et négociation,3h chrono pour optimiser son portefeuille client avec la matrice ABC croisée 
229,Commercial - Ventes,Vente et négociation,Les techniques de closing 
375,Comptabilité - Fiscalité,Comptabilité,Établir les états financiers en normes IFRS 
376,Comptabilité - Fiscalité,Comptabilité,Analyse financière des comptes consolidés et normes IFRS 
378,Comptabilité - Fiscalité,Fiscalité,Fiscalité des entreprises 
379,Comptabilité - Fiscalité,Fiscalité,Initiation à la fiscalité des entreprises 
381,Comptabilité - Fiscalité,Fiscalité,Établir la déclaration de TVA 
382,Comptabilité - Fiscalité,Fiscalité,La TVA dans les opérations intracommunautaires 
384,Comptabilité - Fiscalité,Fiscalité,Pratique de l'intégration fiscale 
385,Comptabilité - Fiscalité,Fiscalité,Appliquer la CET et la taxe foncière 
386,Comptabilité - Fiscalité,Fiscalité,Perfectionnement à la TVA dans les opérations internationales 
388,Comptabilité - Fiscalité,Comptabilité,Maîtriser les normes IFRS 
389,Comptabilité - Fiscalité,Comptabilité,Analyse financière des comptes consolidés 
390,Contrôle de gestion,Pratiques et métiers du contrôle de gestion,Les fondamentaux du contrôle de gestion 
392,Contrôle de gestion,Pratiques et métiers du contrôle de gestion,Perfectionnement au contrôle de gestion 
395,Contrôle de gestion,Pratiques et métiers du contrôle de gestion,Contrôle de gestion dans les services : méthodes et outils 
396,Contrôle de gestion,Pratiques et métiers du contrôle de gestion,Contrôle de gestion dans l'industrie : méthodes et outils 
397,Contrôle de gestion,Les outils du pilotage de la performance,3h chrono pour piloter par le Cash 
398,Contrôle de gestion,Les outils du pilotage de la performance,Comptabilité analytique : décider sur la base de coûts pertinents 
400,Contrôle de gestion,Les outils du pilotage de la performance,Concevoir un tableau de bord pour piloter l'activité 
401,Contrôle de gestion,Les outils du pilotage de la performance,Élaborer et suivre un budget 
402,Contrôle de gestion,Les outils du pilotage de la performance,Réaliser un suivi budgétaire efficace 
404,Contrôle de gestion,Le contrôle de gestion sectoriel et par fonction,Simuler le budget de masse salariale pour mieux le piloter 
406,Contrôle de gestion,Le contrôle de gestion sectoriel et par fonction,Chiffrage prévisionnel et pilotage du coût des projets 
407,Contrôle de gestion,Le contrôle de gestion sectoriel et par fonction,Contrôle de gestion dans l'industrie : méthodes et outils 
409,Contrôle de gestion,Le contrôle de gestion sectoriel et par fonction,Contrôle de gestion dans les services : méthodes et outils 
411,Contrôle de gestion,Le contrôle de gestion sectoriel et par fonction,Le contrôle de gestion du marketing digital 
413,Contrôle de gestion,Le contrôle de gestion sectoriel et par fonction,Méthodes et outils du contrôle de gestion bancaire 
415,Contrôle de gestion,Le contrôle de gestion sectoriel et par fonction,Mesurer vos coûts de non qualité 
417,Contrôle de gestion,Business partner : communiquer et challenger les opérationnels,Préparer et animer la revue de performance 
418,Contrôle de gestion,Analyse et visualisation des data,Les bases statistiques pour exploiter des données chiffrées 
419,Contrôle de gestion,Analyse et visualisation des data,Power BI Desktop - Analyse de données et tableaux de bord 
420,Contrôle de gestion,Analyse et visualisation des data,Analyse et visualisation de données avec Excel 
425,Création d’entreprise,Financer et développer son activité,Réussir son business plan 
426,Création d’entreprise,Financer et développer son activité,Finance pour non-financiers 
427,Création d’entreprise,Financer et développer son activité,Lire et analyser un bilan et un compte de résultat 
428,Création d’entreprise,Financer et développer son activité,Les fondamentaux du contrôle de gestion 
429,Création d’entreprise,Financer et développer son activité,L'essentiel du droit des affaires pour non-juristes 
430,Création d’entreprise,Financer et développer son activité,3h chrono pour démarrer votre site e-commerce 
431,Création d’entreprise,Financer et développer son activité,Concevoir une stratégie d'entreprise 
433,Création d’entreprise,Financer et développer son activité,Réseaux sociaux niveau 2 - Stratégie de communication sur les médias sociaux 
434,Création d’entreprise,Financer et développer son activité,Prospecter et gagner de nouveaux clients 
437,Création d’entreprise,Financer et développer son activité,Négociation commerciale - niveau 1 : les 6 étapes gagnantes 
439,Création d’entreprise,Être entrepreneur,Réussir le lancement de son activité en ligne 
440,Création d’entreprise,Être entrepreneur,Argumenter : un levier pour convaincre 
446,Direction de l'entreprise,Direction - Management,Dirigeant de PME : mieux piloter son entreprise 
447,Direction de l'entreprise,Direction - Management,"Manager un centre de profit, une ""business unit"" "
448,Direction de l'entreprise,Direction - Management,Piloter la performance d'un centre de profit 
450,Direction de l'entreprise,Direction - Management,Concevoir une stratégie d'entreprise 
456,Direction de l'entreprise,Direction - Management,Conduite du changement : démarches et outils 
457,Direction de l'entreprise,Direction - Management,Approche systémique : s'approprier la démarche 
459,Direction de l'entreprise,RSE / Développement durable,Reporting RSE : communiquer ses résultats et ses actions RSE 
460,Direction de l'entreprise,RSE / Développement durable,Réduire durablement ses impacts environnementaux 
461,Direction de l'entreprise,RSE / Développement durable,Engager les collaborateurs dans la démarche RSE 
462,Direction de l'entreprise,Nouvelles formes du travail,Optimisez votre productivité en télétravail 
463,Direction de l'entreprise,Nouvelles formes du travail,Manager le télétravail 
464,Direction de l'entreprise,Nouvelles formes du travail,Mieux collaborer à distance à l'aide des outils numériques 
465,Direction de l'entreprise,Nouvelles formes du travail,Bâtir une stratégie d’équilibre vie pro - vie perso 
466,Direction de l'entreprise,Nouvelles formes du travail,RH : réussir la mise en place du télétravail 
467,Direction de l'entreprise,Digitalisation et intelligence artificielle,Les principes clés de l’intelligence artificielle 
468,Direction de l'entreprise,Digitalisation et intelligence artificielle,Responsable Transformation Digitale 
469,Direction de l'entreprise,Digitalisation et intelligence artificielle,Réussir la transformation digitale de l'entreprise 
470,Direction de l'entreprise,Digitalisation et intelligence artificielle,Réussir le lancement de son activité en ligne 
475,Direction de l'entreprise,Finance - Gestion,Réussir son business plan 
477,Direction de l'entreprise,Ressources humaines,RH : réussir la mise en place du télétravail 
480,Direction de l'entreprise,Ressources humaines,Prévenir et faire face aux agissements sexistes et au harcèlement sexuel au travail 
481,Direction de l'entreprise,Ressources humaines,Piloter les relations sociales 
482,Direction de l'entreprise,Ressources humaines,"Manager, prévenir les risques psychosociaux (RPS) dans vos équipes "
483,Direction de l'entreprise,Ressources humaines,Présider et animer la Commission Santé Sécurité et Conditions de Travail - CSSCT 
484,Direction de l'entreprise,Ressources humaines,Présider et animer le CSE – Entreprises de 11 à 49 salariés 
485,Direction de l'entreprise,Ressources humaines,Présider et animer le CSE - Organisations de plus de 50 salariés 
487,Direction de l'entreprise,Ressources humaines,"Rupture Conventionnelle Collective, Plan de Départ Volontaire et PSE "
489,Direction de l'entreprise,Commercial Marketing,Construire et déployer sa stratégie commerciale 
490,Direction de l'entreprise,Commercial Marketing,Définir et déployer sa stratégie marketing 
493,Direction de l'entreprise,Efficacité personnelle - Communication,Les 7 habitudes des gens très efficaces® 
494,Direction de l'entreprise,Efficacité personnelle - Communication,Asseoir son autorité et faire face aux situations tendues 
496,Direction de l'entreprise,Efficacité personnelle - Communication,Convaincre et s’imposer en négociation 
497,Direction de l'entreprise,Efficacité personnelle - Communication,Gérer les échanges avec un public hostile 
500,Direction de l'entreprise,Efficacité personnelle - Communication,Métier Responsable Communication 
501,Direction de l'entreprise,Efficacité personnelle - Communication,Valoriser son image professionnelle par son style 
803,Efficacité professionnelle,Capacités relationnelles et collaboration,Argumenter : un levier pour convaincre 
804,Efficacité professionnelle,Capacités relationnelles et collaboration,S’adapter et coopérer efficacement 
805,Efficacité professionnelle,Capacités relationnelles et collaboration,Maîtriser les outils de facilitation et d'intelligence collective 
806,Efficacité professionnelle,Capacités relationnelles et collaboration,3h chrono pour décoder la communication non verbale 
807,Efficacité professionnelle,Capacités relationnelles et collaboration,Décoder la communication non verbale 
808,Efficacité professionnelle,Réunion - Intelligence collective,Menez une réunion stratégique efficace 
809,Efficacité professionnelle,Réunion - Intelligence collective,Animer une réunion productive 
810,Efficacité professionnelle,Réunion - Intelligence collective,3h chrono pour se préparer à animer des réunions à distance 
811,Efficacité professionnelle,Réunion - Intelligence collective,Réussir ses réunions à distance 
812,Efficacité professionnelle,Réunion - Intelligence collective,Clarifier ses idées avec la carte mentale 
813,Efficacité professionnelle,Réunion - Intelligence collective,Menez des négociations professionnelles avec aisance 
815,Efficacité professionnelle,Réunion - Intelligence collective,Communiquer avec aisance en situation difficile 
